,source,target,sampled
3392,a mother elephant and her baby are in a grassy enclosure,a couple of elephants walking across a lush green field, a baby sits under an elephant in a grassy area
3393,a man pokes his head through a wall to photograph boys skateboarding,a man taking a photograph of skate boarders in the rain, a man watching a boy through the playground of graffiti
3394,a pair of horses grazing in a field behind a fence,two horses grazing in a fenced in field, two horses wrestle in a field
3395,man swinging tennis racket while group of people watches,a man is playing tennis on the court racket in hand, a man is playing tennis on the tennis court outside
3396,looking down at a computer keyboard and mouse,a computer mouse and keyboard on a table, a computer typing on computer with a computer
3397,dirt bike rider driving on dirt road fully geared,a person is riding a dirt bike along a path, a person is riding a dirt bike
3398,a woman is out on a court playing tennis,a woman prepares to hit a tennis ball during a match, a woman prepares to hit a tennis ball during a match
3399,the table has a flower arrangement in an ornate vase,a vase sitting on top of a table with flowers in it, an opening table in front of a table with candles
3400,a large truck is parked beside an old wooden bench,a wooden bench with an old tire sitting on it, a truck with an old fashioned truck sitting outside
3401,a person with a tie and a suit,the man is waring a colorful tie and a dark jacket, the man is wears a number colored and white dress
3402,two jumbo jets are driving on the runway of an airport,some parked airplanes and one airplane in the sky, two moving cars controllers on the racetrack
3403,a man sitting cross legged in front of a mirror on the floor taking a self portrait,the man is meditating in front of the mirror, the man is resting in the mirror
3404,two cats lay together on a blanket,two cats rest on each other to take a nap, two cats lay on the grass next to a cat
3405,a cat looking out from an open doorway,a cat stares through an opening between two doors, a cat peeks an open space with its mouth open
3406,a young child that is sitting by a red cake,a child sitting cross legged in front of a birthday cake, a child sitting down beside a cake with cake
3407,a man riding a skateboard down a cement ramp,a guy riding his skate board on the sidewalk, a skateboarding man riding his skateboard on the ramp
3408,a fancy metal cloth is seen against huge barred windows at a stone train station,a shot of a clock in the train station, a train is near a train
3409,a texas longhorn bull eating grass by a barbed wire fence,brown and white cow with long horns standing next to a chain fence, an animal with white hair and blue jeans sitting behind a fence next to a fence
3410,a horse looking over a fence on a snowy day,a horse standing in a snowy pasture looking over a fence, a horse standing in a grassy area looking over a fence
3411,a large dining room features wooden cabinets and a marble counter top,a sink in a peninsula in a kitchen, a indoors in a cafeteria
3412,a man sitting on a toilet that is n t connected to anything,a man sits on top of a toilet, a man sits on the floor
3413,a bathroom with a toilette with it s seat down,a bathroom with a toilet a sink and a shower, a closeup of a hummingbird with a yellow cup
3414,a laptop computer sitting on a quilt comforter on a bed,a plaid comforter with a laptop sitting on it, a computer desk with a laptop sits on a bed
3415,the zebra is standing in the field with another zebra laying down in the background,a zebra stands while another zebra lays down nearby, a golden retriever stands behind two cows behind him
3416,two baby animals are play fighting with eat other,a black bear holds a baby black bear as they lie on the ground, a brown dog holds a brown and white puppy while the other looks at the camera
3417,giraffe and a zebra standing side by side,a giraffe and a zebra stand side by side as they eat, a golden retriever and a spotted look on behind him with its mouth open
3418,two skiers in dark clothing are standing on the snowy slope,two people walking up the hill so they can ski down it, two skiers in black pants and black pants look to the side of the snow
3419,a table topped with three wine glasses and a laptop,a male in a black shirt glasses of wine and two silver buckets, a table with a white laptop and glasses in front of a laptop
3420,two bears in the trees with snow falling,two bears up in a tree during a snow storm, two rabbits looking in a pile of leaves
3421,a man sitting on the ground fixing a motorcycle wheel,a man fixing a tire for a motorcycle, a man repairing a motorcycle in a race
3422,a cat is sitting in a small bowl on the table,a cutting sitting upright in a pottery bowl on a coffee table, a cat sitting beside a table full of food on a table
3423,four men playing frisbee in a fenced park,four men playing ultimate frisbee in a park, four men playing frisbee in a park
3424,sailboats docked at the pier of a town marina,a harbor with several boats docked and buildings in the background, a pier with boats sailing through the water
3425,two people at a table eating doughnuts and drinking milk,a woman taking a bite of a doughnut in a restaurant, two people enjoying a meal of food
3426,two headless mannequins display fashionable clothing in front of a pink background,two fashion mannequins dressed in garments on a runway, two mannequins dressed in costumes pose
3427,a row of girls holding umbrellas pose for a picture,five ladies standing in the street with umbrellas, several girls standing in the picture with umbrellas
3428,a watch set to 12 25 sits on the table,the mans wrist watch is laying on the table, the professor sits down at the table
3429,a city street lined with very tall buildings,a two way street has minimal cars on it, a city has many buildings to buildings
3430,two zebras standing in a rocky area in the wild,a lone zebra stands outside on a rocky hillside, two golden retrievers stand on a rocky hillside
3431,a group of people are seated around a dining table,a group of people sitting around a table have a meal and a drink, a group of people sitting around a table having a meal and a meal
3432,there is no image here to provide a caption for,a plate filled with pastry on a table, a security guard with an umbrella on a balcony
3433,a cat is perched on the back of a sofa in a multi colored room,a living room witj a couch some chairs and a tv, a cat asleep upon a bed with a stuffed chair
3434,unable to see this image in this particular hit,a man laying his head down next to electronics a butterfly and a book, a man laying down his back to a swing while a woman watches him
3435,a pregnant woman is in bed reading a large book,a pregnant woman laying in bed reading a book, a lady sleeping in bed reading a book
3436,an elderly person in a kitchen cooking food,a man stirring something in a foil roasting pan, an elderly person stirs in a kitchen while cooking
3437,the room has two couches next to a dark coffee table,a living room with sofas tables a lamp and windows, a couch with three chairs stacked in front of a table
3438,the store front of a teddy bear shop,a large teddy bear sits in front of the store, a street store sells merchandise in the background
3439,a stop sign with dirty edges at a cross walk of a street,a large stop sign is set against city buildings, a sign is crossing the street corner
3440,four kids sitting on surfboards with man in background,children and an instructor on a beach with the children sitting on surfboards, four children sitting on a bench with a man in the background on a surfboard in the background
3441,a painting of a white vase holding yellow tulips,a white vase with yellow tulips against a grey background, a red haired woman with yellow paints
3442,a man holding a tennis racquet on a tennis court,a man crouches actively as he plays tennis, a man tennis player contemplates to serve tennis
3443,the large dog is asleep on a couch,large dog laying down on a blanket next to a table, large dog sleeping on its back next to a sleeping man
3444,a laptop and a desktop monitor are displayed on top of the desk,a desk with a laptop second monitor and keyboard, a desk with a laptop checks the papers
3445,a chihuahua sits in a window display with a price tag,a store s display window with two adorable chihuahua dog statues, a brown dog sits at an airport window with an opened door
3446,two pink flowers in oddly shaped wood vase,two large purple flowers are in a large vase, two small girls are in a large flower
3447,a person riding a motorcycle with mountains in the background,a person on a motorcycle riding on a mountain, a person on a motorcycle riding on a mountain
3448,a little boy swinging a bat while adults watch,boys playing baseball with one little boy at bat and parents watching, boy playing while watching the little boy and girl watching
3449,grilled chicken on a plate with spinach broccoli zucchini and carrots,a plate of prepared food has a sandwich and vegetables, a cook and a chicken are cooking on a table
3450,a streamlined modern toaster on a kitchen counter top,a toaster and blender are sitting on a tile kitchen counter, a kitchen counter is on top of a kitchen counter counter
3451,a woman holding a hot dog on the street,a woman in brown shirt holding a hotdog by tables with umbrellas, a woman in an orange shirt holds an animal for sale
3452,a row of motorcycles parked together on a grass yard area with a house in the background,several motorcycles are parked on the green grass, several vehicles are parked on the street
3453,metal park benches sitting in the grass and mud,two steel benches next to a walk way, an outdoor park bench is being played
3454,a close up of a cat on a window sil,a striped cat sleeping on a sunny window sill, a cat perched on a gray sheet peering out
3455,a dirty public bathroom with a handicap sign located above the toilet,a toilet and a handicap sign with red pipe, a window with a broken glass window is cleaning
3456,a street light on a corner with a red light on it,a couple of red lights are hanging over a road, a street corner is being lit by lights
3457,the sausages are served with parsley on the side,two hot dogs in buns sitting on a white plate, food on a clear clear clear glass
3458,a woman wearing skis on a snowy mountain posing for the camera,a woman is on skis on the ski slope, a woman is on skis on the snowy mountain
3459,two girls posing with doughnuts with bites out of them,two females are holding jelly donuts with a bite taken out, two girls are posing with baked baked by a grill
3460,a surfer riding the waves on a surf board,a man surfing on his surfboard through the waves of the ocean, a surfer riding on the ocean waves from the ocean
3461,a red passenger bus is on the street,a red trolley car that is sitting on pavement, a red bus cab is sitting on the sidewalk
3462,a batter prepares to hit a baseball that has just been thrown,a pitcher throws a baseball to a batter, a batter batter a baseball player
3463,a group of young people playing baseball in a field,baseball players in their uniforms on a baseball field, youth in baseball players on a field during a baseball
3464,a cat sitting on a table next to a tv in a living room,cat sitting on cabinet in front of large screen television, cat sitting on computer in front of a tv presentation
3465,a woman taking a photo of her food with a cell phone,a women who is taking a picture of her food, a woman takes a picture of a man and her phone
3466,a young girl eating a slice of pizza,a little girl eating a slice of pizza in a room, a young girl eating a plate of food
3467,a dog that is standing on a rug in a bathroom,the dog was standing in the bathroom near the sink and toilet, the dog stands in the bathroom with the bathroom behind the counter
3468,three men riding horses through a grassy field,three jockeys and three horses competing in a race against each other, three cowboys with horses are traveling along a field of grass
3469,a man sitting in a room taking a selfie in a mirror,a man sitting cross legged in front of a mirror on the floor taking a self portrait, a man sitting alone taking pictures on a couch in front of a mirror
3470,a teddy bear sitting on a blue chair,a tan teddy bear wearing a bow tie sitting on a bed, a golden retriever bear sits on a stuffed alligator
3471,cow standing under the only tree to catch some shade,a brown cow is standing under a green tree, a brown dog is standing under a tree
3472,a skateboarder is doing a trick on his board,a male skateboarder in a black jacket doing a trick, a young man doing a trick in a skateboard
3473,a store display filled with ripe unripe bananas and other fruit,a fruit stand that has bananas papaya and plantains, a busy store that sells different different different items
3474,i love the way the sun is creeping behind those two buidings,a number of buildings in the distance, a beautiful day in the background
3475,a purple and white bus in a parking lot,a purple bus with a person on the side driving around a curb, a bus with a lot of people on it outside
3476,a vase with various flowers in it on a display case,an image of a flower arrangement in the vase, an oriental in a flower pattern on the shelf
3477,a large white polar bear playing in water,a polar bear is swimming in a pool of water, a golden retriever is swimming in a lake in the ocean
3478,a black and white photo of a street signs and buildings,a bunch of buildings in a city having signs strung across, a picture of a city scene in an asian country
3479,a group of men riding skis on top of a snow covered slope,four people on skis below a mountain taking a picture, four people on skis riding a snow covered hill
3480,a person standing next to some old junk appliances,many old appliances in trash head with woman in center, an old lady standing in front of some vegetables
3481,a gray and white tiger striped cat sitting in front of a brickwall,a cat sitting in a pouncing position next to a brick wall, a cat sitting on a trunk trunk of a lion
3482,a hot dog with mustard is next to a bottle of soda,a bottle is next to a hotdog on foil, a closeup is on a bottle to drink juice
3483,a guy in a green shirt casually plays the nintendo wii,a man playing wii in a dirty room, a man playing scrabble in a blue shirt
3484,a large bed with two lamps on either side lighting the room,a neat and tidy bed in a hotel room, a mattress with messy bears is sitting
3485,a surfer riding the waves on a surf board,a guy is showing his prowess while surfing the waves, a surfer is using his surfboard along the ocean while the sun sets
3486,man swinging tennis racket while group of people watches,spectators watching a professional men s tennis match indoors, tennis player swinging a tennis racket at an incoming tennis game
3487,there is a male surfer that is riding in the wave,a man that is on a surfboard in the water, a man on a surfboard is surfing
3488,two women play singles tennis outdoor surrounded by trees,two people are playing tennis in an outside court, two women are playing outside in an outdoor area
3489,two peanut butter and jelly sandwiches sliced in half,a delicious looking sandwich on a plate with a knife, two lizards making food
3490,a brown crust of pie with strawberry filing,a close up of a cooked fruit flavored muffin, a chocolate and brown dog are inside a baking kitchen
3491,a view of a man wearing a casual shirt and tie,a man s striped dress shirt and patterned tie, a man wearing gray shorts and sandals is leaning
3492,men and woman posing for a picture on skiis and a snowboard,a group of people standing next to each other on top of a snow covered ground, a group of people standing next to each other on a snowy mountain with skis
3493,closeup of a logo on a blue and red bus,the side view of a red vehicle with a logo sign on the side of it, the mirror of a blue bus with people on it
3494,four children at an outdoor party wearing festive hats,children gather around the table with party hats on, children gather around the table with hats on
3495,a living area with a bed chair and window,a bedroom with big bed and a chair by the window, a bed with a bed full of furniture and a window
3496,a man in an orange shirt pouring a glass of wine at a wine bar,man pouring different types of win into drinking glasses, man pouring drinks from a glass of wine wine
3497,a cat sitting in the sink in the bathroom,a striped cat is laying on the sink and looking at the camera, a cat sits at the sink and is trying to get it
3498,an individual is taken in this very picture,adult standing at luggage carousel in airport area, tourist sitting in sepia photo of man walking down street
3499,a man is doing a trick on a skateboard,one person on a skateboard does a jump while another watches, one person on a skateboard does a trick while another man watches
3500,a clock tower sitting in the parking lot of a building,a building with a short clocktower in the front of it, a large building with a tower in the background
3501,a white toilet sitting in a bathroom next to a sink,a restroom with a toilet sink and window, a sink with a sink while sitting
3502,venus williams is swinging at the tennis ball at the game,female tennis player in full run on a blue court to complete a backhand return, tennis player swings at a ball on a sunny day as a crowd looks on
3503,woman taking her picture in a mirror with her cell phone,woman posing for a picture while holding a cellphone, woman posing for a picture while holding a phone
3504,a baseball player is holding a bat on a field,a group of baseball players standing next to each other on top of a field, a baseball player holding up a bat and bat about to throw the ball
3505,a kitchen is shown with cabinets and appliances,the small kitchen with the spacious counters is clean, the kitchen with the cheeseburger is shiny
3506,a herd of animals traveling down a country road surrounded by a lush green landscape,jogger running past a flock of white sheep, camels riding camels through a city street
3507,an open laptop compute with a computer mouse,the computer mouse is in front of the laptop, the computer monitor is in front of the computer
3508,many motorcycles are parked in the ground a middle aged person standing near a bike,a close up of some motorcycles parked on a grassy field, a motorcyclist on a dirt road over some motorcycles
3509,three children flying a box kite near the ocean,young children are at the beach flying a toy story kite, 2 children are at the beach watching a kite ride
3510,a clock tower by street next to cars at night,a view of a clock tower in the middle of the night, a view of a traffic tower at the parking
3511,a woman is helping a child put on skis,a young child is sitting in the snow, a woman is skiing in the snow
3512,a woman standing in front of a fiber optic tree,a woman smiles at an evening event in front of a clock, a woman stands by herself in front of a statue of a statue
3513,an air plane wing with a parking lot with cars,a big parking with a bunch of cars parked in it, a plane with a large airplane in the background
3514,vase with a handle containing flowers sitting on table,a close up of a clear vase with flowers, a cake with its head open
3515,a man in a black hat white shirt and black pants jumping a skateboard off a bench,a person riding a skate board on a bench, a person riding a skateboard
3516,a woman sitting on a bench in the middle of the city,a woman and another woman waiting at a stop, a woman reading a book on her city bench
3517,a man is grinding a ramp on a skateboard,a man is airborne on a skateboard pointing to the sky behind him, a man is grinding on a skateboard ramp on his skateboard
3518,a white bird some sand water rocks and grass,a bird cleans itself next to a body of water, a bird flies above a sand dune and sand
3519,there is a group of four men sitting on park benches,4 men play a game on a park bench, five men sit on a park in a park setting
3520,a person helping a woman put on a tie,a woman is getting her tie adjusted in the city, a woman is helping a woman put her arm on the beach
3521,a tall clock tower with a clock sitting on it s face,a clock with a light in a clock tower at dusk, a clock with a large clock in the background at a campground
3522,a bedroom with built in television and open fireplace,a room with a fire place and television inside of it, a room with a living room in front of it and laptops
3523,a man with glasses sitting on a chair with a wiimote,a young man playing with video game controllers, a man sitting by the microphone playing an accordion
3524,a man wearing a t shirt stands in the door way of a white bus,a person standing in the doorway of a mass transit vehicle, a person standing in the middle of an empty bus
3525,a woman and a man playing a video game in the living room,a woman in a striped shirt playing a video game, a woman playing a game in a living room
3526,a view from above looking into a shopping cart full of groceries,a shopping cart full of food that includes bananas and milk, a shopping cart full of produce and shopping carts
3527,a passenger bus that has been parked on a street,a blue and cream colored bus is parked on a cobblestone surface, a red bus cab is parked on a crowded street corner
3528,a charming living room utilizes a cast iron stove as a focal point,a living room with a unique looking carpet and a fire place, a room with glass and a glass of a campfire
3529,a table topped with a cake covered in berries next to a plate of sandwiches,a white cake topped with berries and a plate of fruit and cheeses, a table with cake plates with a plate of brownies and plates
3530,an old man is wearing an odd hat,an older man is wearing a funny hat in his dining room, an older man is wearing a hat and hat in the midst of a crowd
3531,the group of young men is playing a game of frisbee,several disc players leap to catch the disc, several young males play ultimate frisbee on the beach
3532,a skateboard turned upside down in a street with shoes hovering over it,a pair of shoes that are next to a skateboard, a skateboard has just down a street
3533,a large white and blue clock tower sitting over a roof,the view of a top of a buildings spire showing a small clock on it, the view of a large clock from a clock on a construction site
3534,two black birds are swimming in some water,a goose with a feb bill is eating grass, two birds are surrounded by water
3535,a leaning stop sign has a street sign on top,a stop sign and street signs near mountains, a sign sign on sign that says arrivo
3536,a man on his phone in some kind of room,a man on a cell phone standing next to a bed, a man on a cellphone sitting down at a desk
3537,a young boy is smiling and he has food around him on a table,a small child is smiling and there is some dessert in front of him, a small boy is sitting and eating a plate of food with chopsticks on his head
3538,a bus driving in the middle of traffic,a public transit bus with traffic lights, a crowded intersection with many cars driving
3539,a smiling man is wearing a hot pink tie,a man in an office wearing a shirt and tie smiles at the camera, a man in an orange shirt and a woman wearing sunglasses and sunglasses
3540,a very nice bathroom with toilet and mirror,a fancy mirror and vanity counter top enhance this bathroom, a mirror washer and drying mirror sheets adorn
3541,a man playing a tennis match is serving a tennis ball,a tennis player that is serving the ball, a tennis player gets ready
3542,a cat laying on a pillow on a couch,a cat lays down on a soft blanket, a cat lays down on a couch
3543,a young man standing on top of a tennis court holding a racquet,a man that is on a tennis court with a racket, a man is about to a tennis
3544,the lunchbox has a cold sandwich strawberry yogurt and orange juice,sandwich with container of fruit and container of juice in small cardboard box, pastry with chocolate and apple in front of it has a big dish of fruit
3545,there is a couch chair and luggage sitting on the edge of the curb,a wood chair a sofa and cushions and a roller luggage bag lie by the side of the road, a double decker chair with a suitcase full of papers on it is resting on a bus or road
3546,the roads are wet near a public parking booth,a public parking payment booth in a lot, a busy intersection through a city
3547,two birds preparing to eat food off of a plate that was left on a table outside by the ocean,a bird attempting to bite a piece of sandwich bread, two birds eat birds are making a meal together
3548,a woman in striped shirt holding a plate with a bagel on it,a woman sitting on a train is showing off a bagel, a woman holding up a plate at the counter
3549,two apples an orange some grapes and peanuts,a pile of nuts in front of some assorted fruit, two oranges of oranges in the open open of an open market
3550,a woman sitting on a couch in front of a laptop,a woman sitting on sofa with a laptop in front of her, a woman sitting on furniture with a laptop in front of her
3551,a boy playing baseball about to hit a ball,a toddler hitting the ball with a baseball bat in his backyard, a boy about to hit a baseball with his bat
3552,a group of people kneeling down beside some sheep,two women are watching some goats get tie down, several people are watching two goats down the dirt
3553,a woman is feeding food to this small child,a person feeding a little boy a hot dog as he sits at an iron table, a child feeding a small girl who is feeding a baby s food food
3554,a wagon that is being pulled by some horse,there are two horses that are pulling a carriage, there are two horses and a horse drawn carriage
3555,a baseball player holding a baseball bat is getting filmed by a camera man,a man that is standing up to swing a bat, a baseball player is looking at bat bat
3556,two giraffes walking in long grass near short trees,some giraffes are walking around near some bushes, two lambs walking around some trees on the grass
3557,a small copper vase with some flowers in it,a single vase with white and purple lilacs, a closeup of a flower stand with roses
3558,a clock on the very top of a building,a brick structure with a clock tower in the background, a clock with an airplane is displayed
3559,a nice couple cutting the cake besides many people,a bride and groom standing next to a table cutting their cake, a couple cutting up white cake while two women are watching their wedding
3560,basketball players walking on court with coach in wearing dark suit,basketball players walking across a court with their coach, basketball players walking along a court
3561,a man sitting on top of a bench with a newspaper,several older men sit and relax on shady benches, an older gentleman sits on bench of a bench while reading
3562,a tennis player is reaching up with one arm and has a racquet in the other hand,the tennis player throws the ball up to serve, the tennis player hits the ball and racket
3563,a man up to hit in the middle of a baseball game,baseball game close up of batter catcher and baseball fans, man about to throw baseball ball up to catch a baseball
3564,two mean are playing tennis and both are wearing sunglasses,two tennis players on a court with rackets, two tennis players on a court with one player
3565,a young girl preparing a dish of some sort,a young girl making a plate of food, a young girl preparing a meal in the kitchen
3566,a train moving along a track during the day,a train passes by a road on a railroad track, a train moving a curve on a track track
3567,a man and woman look into each others eyes while getting married,a man and woman are being married to one another, a man and a woman are look to their left
3568,young girl on surfboard riding wave with young boys nearby looking on,the girl is balancing with one leg on the surfboard, a boy in black and sunglasses rides on a surfboard with another girl
3569,a traffic light hanging from a wire above a street,the bright lights are shining on the street, the traffic lights is hung on the street
3570,a cleared crosswalk in a city on a snowy slushy day,a city with snow and slush filling the ground, a road with cars and taxis along the road
3571,a teddy bear sitting on top of a wooden bench,a close up of a black and white teddy bear sitting on a bench, a squirrel on a white and white striped bench sits on a wooden bench
3572,a living area with a bed chair and window,a bed and chair sitting next to a window in a bedroom, a bed and couch sitting on a bed with a sleeping man in the background
3573,an injured woman holding a teddy bear close to her chest,a young woman with bruised face and bloody now holding a stuffed animal mouse in her arms, a young woman with her arms wrapped up and a stuffed animal in her arms
3574,a white plate topped with a pizza and cheese,the gourmet pizza includes several very special ingredients, the cheeseburger plate opened a delicious dessert
3575,two small bears playing in the water together,two bears are playing together in the water, two babies are splashing in water
3576,a black and white picture of a persona nd a umbrella,a man is walking in the rain with an umbrella held close to his head, a man in a black shirt and sunglasses is walking with his umbrella over a street
3577,a dirty public bathroom with a handicap sign located above the toilet,a horrible public toilet that looks like it could use a good cleaning, a window washer is cleaned by the window window of a window
3578,a man is flipping through a book on a bed,a man sitting on a bed flipping through pages of a book, a man sitting on a couch brushing through a book book
3579,four cops on the back of horses stand in the street,several mounted police officers and their horses line up on the street, four policemen officers and their horses stand on the back of a street
3580,a large group of people at a table,a group of people sitting around a table having a meal, a group of people sitting around a table having a conversation
3581,the room is equipped with two seperate twin beds,two white twin beds pushed together in a bedroom, two young girls lay together in a bed
3582,bread and fruit are on a table with a knife and fork,some bread ham fruit jam and a glass of orange juice, an elderly gentleman cutting fruit to a large cutting bowl
3583,a couple of women are at the beach with surfboards,a couple of people with surfboards in the water, a couple with two women in front of a beach
3584,man selling yellow and red carrots at a vegetable stand,a man holding a bunch of carrots behind a display of carrots, a man with a yellow apron selling vegetables at a market
3585,a teddy bear sitting in front of a pile of boxes,a big teddy bear sitting next to some boxes, a stuffed stuffed animal sits on some rocks
3586,a cat sitting by a window watching the rain,a cat sitting in a window watching the rain drip on the window glass, a cat sitting on a bench looking through the window window of a store window
3587,a couple of men in front of a television with a remote,two men using nintendo wii remotes to play a game, two men using powerpoint controlled video camera at a show
3588,a man playing a tennis match is serving a tennis ball,a man on a tennis court about to hit the ball, a man on a tennis court about to hit the ball
3589,a piece of cake and a milkshake with two forks,a large chocolate milkshake and a slice of cake, a small cake filled with two different of cake
3590,a yellow dump truck driving past a forest,a yellow truck and a white truck and a road and trees, a yellow truck and a large truck are driving through the street
3591,a group of people are playing frisbee in a park,a group of youngsters contend for a frisbee in a park like setting, a group of roughly individuals frisbee for a frisbee in a park
3592,a park bench has a persons hat sitting on it,a black metal bench with a had hanging on the back of it, a large crowd sitting by a bench on the side of a street with buildings
3593,a bus is driving outside at dusk time,a bus stopped on the side of the road, a bus driving on the side of the road
3594,in the desert two people are sitting next to a small propeller plane next to a tent with other planes in the background,two people are camping out in the desert, two people are camping out in the desert
3595,a woman in a blue top with headphones and two cellphones,a woman wearing headphones looking at some electronics, a woman wearing headphones looking at some headphones
3596,some blue toothpaste applied to a red toothbrush,a red tooth brush sitting next to a tube of toothpaste, a blue lab carefully on an orange colored tube to cover
3597,a wheeled suitcase sits on a wooden floor in front of a sofa,a large grey suitcase is places near a tan sofa, a large wooden desk is resting on a wooden floor
3598,there is a street sign on a pole on the side of a snowy highway,a road signage giving directions on a road covered with snow, a stoplight sign hangs over a road on a clear road
3599,an airplane is flying through clear blue sky,a jet airliner flying in the air carrying some passengers, an airplane flies through a field of smoke with its tail
3600,a little girl sitting in front of a white plate with pizza,the little girl is busy eating her pizza at the table, a young girl sitting at a table eating food and holding the plate of the plate
3601,a pole with three road signs stands in front of a building,a view of the street signs w 122 st seminary row and broadway in front of an old red brick building, a pole with the left hand signs bolted to the left building with graffiti and a building in the background
3602,two people sit closely together on chairs under an umbrella,two people sit facing each other under an umbrella, two people sit underneath under a giant umbrella outside
3603,the people have surfboards and are on the beach,beach full of surfers inside and outside of the water, 2 surfers in wetsuits and surfing in the water
3604,two little sparrows standing on a table by a knife,two birds perched on a table near a plate of food, two toddlers watching another person on a stool in the kitchen
3605,a woman walking a small white dog down a street,a woman is walking with a dog trailing behind her on a leash, a woman is walking with her dog along a street
3606,a person standing in the snow on skies,a little girl looking down the hill with her skies, a skier making the snow while his skis
3607,a woman sitting down with a large cell phone holder on her pants,a person has their cell phone clipped to their belt, a woman has her arm full of her cellphone
3608,a person prepares a hot dog with mustard and ketchup,there is a hotdog sitting among many condiments, there is an animal wearing a german style shirt
3609,a long subway with people in it is lit up,this train station has many lights on the ceiling, subway entrance has many people on the subway
3610,the skateboarder wears headphones while jumping to grab his board,a person doing a trick on a skateboard, a person doing a skateboard
3611,a metal pole with a traffic light attached red right arrow illuminated with green grass green trees and white sky in background,a traffic light on a pole with a grassy hill in the background, a pole vaulter on a street with a flag in the background
3612,a small child on a skateboard photoshopped over a street image,a young skateboarder is n t much bigger than his board, a young kid is attempting to skateboard past a graffiti wall
3613,a large black semi parked in a parking lot,a very large semi truck without any load is parked, a large parking lot packed of vehicles
3614,a phone with a banana where the receiver should be,a telephone has it receiver replaced with a banana, a mobile has tells an employee with the name tag
3615,a group of people fly kites in the air,a kite is flying over the water of a bay, a crowd of people are flying kites in the air
3616,street art painted on the wall in an asian country,a construction wall that has been used as a billboard, a mural of art has been painted
3617,a vase with purple iris s sitting next to a ceramic pitcher,a vase full of irises with a pitcher on an end table, a vase of different shapes with a bowl on it
3618,a man in an arabic type outfit on a cell phone,a man in white is sitting at a table, a man in black is standing on a phone
3619,a skateboarder on a rail in a building with another man using a spray can as a blow torch,the young man is practicing his tricks on his skateboard while the other is playing with fire, one man is skateboarding while another man is on top of the roof with his skateboard
3620,a snow board sticking out of the side of a tree,skate boarder crashed into the trees jumping over a fence, snow hut branch to take a break outside
3621,a boat filled with people going down a river,a group of people riding on the back of a boat in a river, a boat in the river and a river on a river in the background
3622,a black motorcycle parked at a building that says 500,a large motorcycle that is sitting outside of a building, a black motorcycle is parked outside of a building
3623,the goalkeeper in orange grabs the ball among a group of children playing soccer,a youth holds a soccer ball while another youth is behind him looking at the first youth, a number soccer player wearing a yellow shirt and shorts kicking a soccer ball on the grass
3624,a man looking in the refrigerator with a cat also looking inside,the person is looking in the refrigerator while the cat looks on, the man is in the kitchen looking at his cat
3625,bedroom scene of bed with laptop computer on the side,a plaid comforter with a laptop sitting on it, a laboratory technician with a laptop computer on a computer
3626,a plate of noodles and broccoli are shown,fried noodles and broccoli dish on a round plate, glossy plate of tomatoes hanging out of a cake
3627,a wooden table with a purple laptop and orange pen,a pen sitting on top of an electronic devise, a computer sitting on furniture surrounded by a laptop
3628,a bus has the top part of a van attached to its roof,this is a truck and a bus on a lawn, an old man is on a bus in a city
3629,a young man standing below a shelf full of odds and ends,a person standing in a room near a tennis racket, a person standing in a line near a box
3630,a person holding a sandwich about to eat it,a sandwich with cheese lettuce and a tomato, a chef with bread samples
3631,a room that has a tv window and books in it,a tv on the wall with a cat on the screen, a desk on the side of a building with a computer
3632,a sail boat stuck in the sand on the beach,there is a boat that is sitting along side the beach shore, there is a boat boat that is sailing down the beach
3633,a dog eats people food from a plate on the floor next to a plaid bed,a dog eating cookies from a plate on the floor laying on a dog bed, a dog eating peanut butter on a plate at the counter counter on a table
3634,a picture of a elephant with a cart on its back,a gray elephant walking past a person standing on a wooden structure, a brown donkey pulling a cart on an empty street
3635,a cow with a bell around its neck standing near a wood pile,a black and white cow is standing by a wood pile, a white and white cow is standing near a wooden fence
3636,a small bowl of fruit on a table,a bowl sitting on a table filled with fruit, a table with food hanging on a table
3637,a close up image of a multi media device,some control buttons on an orange and silver electronic device, inside from an image link to an airplane
3638,two men standing in a room and holding wii video game controllers,a pair of two people play video games with controllers, a pair of men are playing with video games
3639,the bird has a black head and yellow feathers,a colorful bird holding on to a tree branch, a bird holding onto a bird above its head
3640,a white woman with a blue surf board,a women is laying on a board surfing a small wave, a woman is surfing on a blue surfboard beside a large wave
3641,a group of people that are standing up outside,a group of people are all gathered together outside, a group of people are gathered together outside
3642,a man skiing down a snow covered slope,a man on skis sliding down a snowy mountain, a man on skis skis down a snowy hill
3643,three men are wading in water reaching for a frisbee,two men playing frisbee in the water one man walking away, three men playing frisbee in the water while two men watch
3644,a parking meter sitting in the middle of a flooded street,there is a street that has been very flooded, there is a large road that is muddy
3645,a street filled with lots of traffic next to tall buildings,a number of vehicles waiting at an intersection, a busy street with cars is parked
3646,a slice of toast sits on the table with a cup of coffee,a plate with food on it a mug and a fork, a table with wine on a table and a tray
3647,baseball players with a bat and glove at the pitch,a guy is playing baseball while wearing a white uniform, a baseball player is playing baseball
3648,man works on laptop as three others work on a project,a man typing on a laptop keyboard in a cluttered work environment, a man works on a laptop computer in a workshop setting
3649,a shot of a clock in the train station,a clock in a brightly lit room with windows, a train in a museum station with many people
