,source,target,sampled
2200,a pole with stop lights and a horse walking sign,the light shows safe for animal crossing on the street, the pole signs to go for traffic
2201,a city street with people crossing in front of a taxi,people cross a crosswalk while a taxi and bus wait, people crossing a busy street and one man is carrying a bicycle
2202,a woman is skiing in a snowy forest,a man is walking in skies in the snow, a woman is skiing in snow on the mountain
2203,a bench that has many colors on it,a park bench covered with colorful patchwork fabric, a bench of colorful colored people sitting together
2204,a very nice looking deck area with a small table and a laptop,a laptop on a table outside a balcony overlooking the ocean, a view on a dock outside a building cabin
2205,a few birds are on the roof of a house,an insect sitting on top of a wooden deck, several birds outside and sit in a tent
2206,a person that is going out in the water,a person holding a surf board in a body of water, a person wearing a wetsuit jumping in a body of water
2207,there are people playing a soccer game on the field,a group of soccer players on a field, two soccer players are playing a game
2208,a red tooth brush sitting next to a tube of toothpaste,a red toothbrush next to a bottle of crest toothpaste, a small baby brushes on a piece of fabric brushes
2209,two very sexy women in bikinis riding horses in the ocean,two women ride horses in the water at the beach, two women riding camels in the ocean in the ocean
2210,a man riding on the back of a brown horse,two people ride matching cream colored horses at a gas station, an equestrian rider is riding riding down a white horse
2211,a blue plate with a green salad on top of it,a plate holds a large salad with broccoli, a plate of a colorful colored cake
2212,a sandwich with a pile a olives and an apple on a tablecloth,a sandwich with meat sitting next to grapes and an apple, a baker sitting down next to an apple box
2213,a man stands poised with a baseball bat,a man holding a baseball bat over home plate, a man holding a baseball bat for control with baseball
2214,a number of horses in a field near a building,two horses standing around n a field near a brick building, several horses riding around a dirt field in front of a crowd
2215,a man surfing in the ocean at sunset,red clouds as sun sets over the ocean, one man dives over a wave crashing on the ocean
2216,a blue eyed tabby cat crouched on the ground,a cat sitting on a street corner looking at the camera, a cat laying on the grass in the grass
2217,a large building with a clock on the front of it,a clock on a building with sky background, a building with a building on it
2218,small pieces of cake have been arranged on a plate,a plate of desserts with frosting and sprinkles, a cake with cake and spoon
2219,a photo of a train station with the train pulling in,a group of cars next to a train, a train station is using a train
2220,two people ride matching cream colored horses at a gas station,two men are riding on horses at a gas station, two people riding at a carnival ride around the fair
2221,a horse is laying down in a field,a dark horse laying on the ground by some grass, a horse lies over some people on a grassy field
2222,a metallic toilet sitting in a small bathroom,metal commode from above photographer s shoes visible, closeup of sink sink from glass and a bathroom
2223,there are several zebras standing close to each other,a group of zebras stand together in a field, a group of cows stand together in a group
2224,a table with a calculator and phone siting on it,a picture of a cell phone calculator and a computer, a large table with a laptop sits at the desk
2225,a women who is walking in the snow on skis,a kid stands in the snow on his skiis, a lady walks in the snow with her skis in her
2226,woman standing in a crowd holding a colorful umbrella,a person standing holding an open umbrella, a person standing outside an umbrella
2227,a bunch of parked bikes sit between two buildings,a caged stairway beside a building on a rainy day, several motorcycles parked past a row
2228,a man and women in the river washing and eating,an indian man and woman in the water on the edge of a river, an older man and woman in the water on a sunny day
2229,a stop sign in front of a large building,a stop sign on a city street at night, a sign on a busy street at night
2230,a victorian house looked very much like this model one does,a daybed in a sitting rooms with a fireplace, a model in an airplane
2231,a pizza that is sitting on a table,a pizza with meat and red peppers and parmesan cheese, a table with food and plates and plates stacked of food
2232,a blue bus parked in front of a tall building,a group of people that are standing outside of a bus, a red bus is parked in front of a building
2233,woman playing nintendo wii in font of business people in office,a lady that has a wii remote in her hand, a lady has a computer while in a casino room
2234,a baseball player preparing to throw a pitch during a game,a baseball player lunges and reaches back with the ball, a baseball player slides while trying to catch the ball
2235,a glass of milk is sitting next to a vase with a reflection in it,a good luck plant is in a round vase, a glass blower is near a glass
2236,a row of parked motorcycle sitting on the side of a road,a line of motorcycles backed in and parked in a line at the edge of a sidewalk, a motorcycle with parked parked on a curb and a man in the middle of the road are looking at a sign
2237,a commercial bathroom stall with empty toilet paper holders,an empty toilet stall with two rolls of used toilet paper and one full roll, an open cellar covered with furniture window has a window of glass and ashtray and a small window of it
2238,a group of giraffes standing around by some trees,smal and large giraffes are standing on the dirt, birds of different ages are standing on a hill
2239,the brown cat is lying on a luggage bag,a cat sleeping on top of a black suitcase, a cat lies on top of a bag
2240,the black and white locomotive is on the train tracks,a train with empty rail cars moving down a train track, a train with train tracks parked on railroad tracks
2241,a baseball player waiting to hit the baseball,the baseball player is ready to swing the bat, baseball player is about to catch the ball
2242,a group of teddy bears leaning against a row of movies,four teddy bears are lined up in a row on a shelf of books, five stuffed figures are facing up on a camera in a cage
2243,a man with a tennis racket on a court,a young man is in blue and white playing tennis, a man in a white shirt is playing tennis and tennis
2244,sandwich sitting on table next to two glasses,a white plate with a cut in half sandwich on top of it, a man with a beard is sitting on some kind of furniture
2245,a lady explains the process of milking a cow,a woman holding a milking attachment and standing in front of a cow with a group of people in the audience, a woman working with a cane pack of hay while standing in front of a large cow
2246,two giraffes standing one behind the other among brush,a couple of giraffes looking at the camera with alert looks, two dogs look from the ground and one is
2247,a cutting board and knife with chopped carrots celery and onion,chopped vegetables and a knife sit on the cutting board, amateur cutting the cake is cutting on a cake
2248,a man holding an umbrella on a sidewalk,a man holding and dancing with an umbrella, a man standing and holding an umbrella
2249,a man standing by a display of surfboards and wetsuits,a man walks up to where surfboards are propped up against a wall and wetsuits are hanging on a rack, a man stands next to ocean and ocean trunks and a lei on a surfboard and is standing next to him
2250,a teddy bear handing on a lit christmas tree,stuffed teddy bear placed in a lighted christmas tree, christmas bear bear bear in a christmas tree
2251,advertising photograph of a surf themed birthday cake from a bakery,a birthday cake decorated to look like an island with surfboards, an event shows off a birthday cake with chocolate cake
2252,a very nice bathroom with toilet and mirror,a view of a bathroom that appears to be very elegant, a mirror is using a mirror to clean up
2253,a group of boats parked next to a dock in the water,two tug boats tied up to the dock, several boats parked boats next to the water
2254,three wine glasses being clinked together in a toast,people holding up for wineglasses to each other, three people sitting on and reaching for a toast
2255,a man riding a wave on top of a surfboard,a person riding a surf board on a body of water, a man riding a surfboard on a wave of water
2256,a pair of beds in a hotel with green sheets and one head board,the hotel guests have messed up their room, two people lay close to each other
2257,bikes are being transported in a subway car,a train conductor standing next to a group of bikes, a bicycle rack sits at a subway station
2258,a girl with a kite running in the grass,a little girl is running on the grass with a kite, a little girl is running on the grass with a toy
2259,a living room that has a bunch of different couches,a room with a couch chairs television and a table, a room with a few empty chairs and chairs
2260,a modern jet airplane flying up in the sky,an airplane flying high in the sky on a partly cloudy day, an airplane flying through the sky at a plane outdoors
2261,a man with glasses sitting on a chair with a wiimote,a man is staring at something in his hand, a man is seated on the chair in a game
2262,a teddy bear sitting on a blue chair,a teddy bear sits on a floral patterned chair, a teddy bear sits on a stuffed alligator
2263,pack of three zebras eating grass near a log,a group of zebras graze on grass beneath tall trees, a bird runs along side of tall grass
2264,people at the airport offloading the baggage with their names on,a group of people that are next to some bags, a group of people are waiting for the train to come
2265,a person doing a trick on a skateboard,skateboarder holding the bottom of his board in the air, skateboarder in the air grinds his skateboard with a skateboard
2266,the batter stands at the plate ready to swing as the players stand ready in the outfield,a baseball game with a bunch of people in the stands, a batter with a plate in the air
2267,a catches crouches on a patch of dirt,a catcher kneeling at the mound waiting for a baseball, a uh kneels on the dirt road
2268,a road with california 138 and a stop sign,a distorted image shows street signs and a desert, a road sign to make a delivery sign
2269,a large siamese cat sitting on top of a laptop computer,this cat has no intention of giving up the computer keyboard to a human, an image of cat intensely looking at a computer monitor and a laptop computer with the name looks on
2270,a living room with a large door way and a chair,a pastel green room with pictures mounted on the wall and a red chair near a large window, an image of an apartment filled with furniture and a few people sitting on the floor
2271,a counter with porcelain figurines an umbrella and a bowl,a display of figurines and books as an art piece, a mouse and stuffed are decorated with candles and a woman
2272,a kitchen with a very messy counter space,a kitchen that has black counters and wooden cabinets, a kitchen and blue aprons are seen lit with blue
2273,a picture of some people by the street,umbrellas are used as parasols to deter the sun on hot streets, pictures are shown as they walk down the street
2274,a giraffe eats leaves through a wire fence,a giraffe eats some leaves through a fence, a squirrel sits by a fence at a fence
2275,a number of young people are enjoying themselves around a fountain not far from a fire hydrant,a red fire hydrant is next to a public water fountain, there are a few people watching the fountain
2276,a herd of sheep gather near a fence on a snow covered ground,a group of sheep at a fence in winter, a dog at a farm of sheep
2277,a boat in the distance in the ocean with mountains in the background,two people sitting on a small boat floating over the ocean, two people standing on a boat with their backs
2278,people browse the shops while walking on a busy street,a woman holding an umbrella stands as people walk past, a group walking while wearing kimonos and walking down a street
2279,a cow grazing on the grass on the side of a side walk,a big brown cow walking down a sidewalk near homes, a cow wearing purple cover is near bushes
2280,the boys are playing volleyball in the gym,a gym full of men playing volleyball with each other, a few boys playing with each other in a gym while another man watches
2281,there are a few street signs next to a house,a grey house sitting between a couple of other houses, a street scene outdoors by a large sign of advertising
2282,a couple of pieces of very nice looking luggage,two different brands but similar looking devices sitting by each other, an older couple with long hair and sunglasses stand near a bus stop
2283,a brown white and black dog is laying on a gray couch,a dog laying on a couch and covered with blankets, a dog lying on a couch with both feet on the ground
2284,a man on a surf board rides a wave,a surfer in the ocean on the crest of a wave, a man on the ocean surfs in the ocean
2285,man surfing a wave on a dull day,a person on a surf board by a big wave, a person on a surfboard surfing a large wave
2286,a group of buildings with clock tower and trees in night sky,a row of attached buildings situated by a river, a tower with buildings lights by a building
2287,a baseball player swings the bat while the catcher umpire look on,a baseball batter is up for a swing over the plate, a baseball player looks at a base with the catcher on the ground
2288,a dog that is sitting on top of a brown car,a dog wearing a bandanna and sitting on the trunk of a car, a dog wearing a superman shirt and sitting on the hood of a car
2289,many people on a beach with a kite flying in the sky,a group of people on an island beach, a group of people on an airplane
2290,a horse drawn buggy sits in front of pyramid shaped mosques,the horse stands attached to an empty carriage, the horse sits behind a wooden gate
2291,group of people walking on a city pedestrian crossing,a group of people walk across a crosswalk, a group of people traveling on a crosswalk
2292,a blue plate holding food that includes shrimp fries and greens,delicious looking plateful of fried seafood and greens, food plate plates plates are serving food
2293,a baseball player holding a bat while standing on a field,the man is hitting the water balloon with a bat, a baseball player in the red uniform and baseball players in the field
2294,a gray and white cat standing on a lush green field,a black and white cat on some grass, a white and white cat on grass
2295,a man on a snow board going down a snow covered hill,a ski boarder skiing down the side of a mountain, a snow boarder slides down the hill
2296,a small dog trying to grab a frisbee from someone,small dog waiting for green frisbee to be thrown, small dog trying to catch a frisbee in front of a red fence
2297,a kitchen with a stove top oven next to a white fridge,a bare kitchen has wood cabinets and white appliances, a cook cook stove and the oven plate
2298,a black cat drinking water out of a water faucet,a cat drinking water from a sink bowl, an animal drinking from a bottle of water
2299,pizzas are sitting on trays on a table,several square pizzas are sitting on round plates, several chefs are sitting on stools
2300,an asian child brushes their teeth with a blue toothbrush,a young girl who is brushing her teeth with a toothbrush, a young girl wearing a pink shirt brushes her teeth and teeth
2301,two brown ponies in grassy field next to a fence,a horse and her young one standing in the pasture, two cows are behind the fence
2302,three white urinals mounted to a bathroom wall,a view of a bunch of urinals with stickers above them, a large group of people with been bathed with glass on their faces
2303,a woman sitting at a table in front of a pile of luggage,a huge pile of luggage sits by the door, a female reads from the luggage
2304,a big bird that is flying over some sand,an up close shot of a seagull flying in front of the beach, an animal flying off of a stone bridge in the sand
2305,there is a large building under construction and many parking meters,many parking meters line the street near a building under construction, construction workers watch the buildings near a building
2306,a black and white image with a colored british flag umbrella,color corrected photograph of a person carrying a red white and blue umbrella, an older man waving at a flag holding a white flag and waving
2307,a sliced orange on a plate by a fork,a close up of a plate with an orange and a fork, a plate with a plate of someone with a knife
2308,a man standing next to a kitchen counter preparing food,he is working on the meal while the dog is patiently waiting, man standing at the counter is making food and the oven
2309,an office desk with a computer keyboard and mouse,a mouse and a keyboard that is sitting on a table, a desk and a laptop is sitting on a computer
2310,a kite sitting in the middle of a large body of water,something sticking out of the body of water, there flying out of the water
2311,a clock tower and a large christmas tree in the center of a plaza,series of light decorations at a city center with a tree and a clock tower, an open air building at a large christmas building with a large crowd
2312,a young asian woman model sitting on a folding chair in a sleeveless dress high heels and holding an umbrella,a woman poses for a photo as she sits on a chair with an umbrella, an asian woman is relaxing with her purse on a nice day
2313,the couple walks down the wet sidewalk with an umbrella,a man and woman that is under an umbrella, an couple and one is in an alley
2314,a refrigerator next to a red wall in the kitchen,a kitchen has a refrigerator and ice chest, a kitchen has a bowl and jar
2315,a large jet is in the loading area,an airplane and a person on the tarmac, an airplane on a boat in the mountains
2316,an old refrigerator stands against a wood panelled wall,a kitchen with a refrigerator near a pair of shoes, a an open with an open door in the window
2317,someone is online inside the slightly crowded restaurant,a menu is displayed in front of a restaurant, a restaurant is displayed in the restaurant
2318,an indoor archway with a clock on the end of it,a station hallway has a glass ceiling and clock, an airplane is lit lit
2319,a white clock tower at the top of a tiled building,a large white and blue clock tower sitting over a roof, a building is building an empty tower tower
2320,two street signs on top of a stop sign,two green street signs crossing each other above a stop sign, two signs signs signs signs on a street corner with a sign saying souvenirs
2321,a man sitting on a bench with a tall building behind him,a male in a white shirt is sitting on a bench and a building, a man in a blue shirt is sitting on a bench by a building
2322,a sign for a public restroom is in more than one language,a blue sign that is pointing to the restrooms, a group of people are gathered to enter the camera
2323,a man in a neon green shirt and black pants holding a pink umbrella,a man holding an umbrella on a sidewalk, a man holding an umbrella on a umbrella
2324,a woman skiing down a snowy tree lined path,a woman is wearing a pink and black jacket is sking, a woman is wearing a backpack and is skiing
2325,the boy is trying to hit the baseball during the game,a young boy holding a bat at a baseball game, a young boy holding a baseball bat at a baseball game
2326,two boats are floating on the river near the shore,two boats are idly floating on a lake, two boats are docked down a river
2327,single train parked at a train station on a clear day,a train is near an empty outdoor station, a train is near an outdoor train
2328,a man holding a tennis racket playing on a tennis court,a man holding a tennis racquet on a tennis court, a man holding a tennis racket on a tennis court
2329,a empty bench is located next to the water of a harbor,a wooden bench is located by a lakeshore, a bench is relaxing in a harbor
2330,a group of people in the snow with skis,a number of people riding skis on a snowy slope, a bunch of people skiing in winter gear
2331,the lady on the phone is wearing an umbrella hat,a woman with an umbrella hat holds a cellphone up to her ear, a woman with an umbrella walks down a sidewalk next to a pay phone
2332,a child wearing a hat is holding a pizza box with pizza inside,a young boy dressed in yellow holding a pizza in a box, a young boy dressed in red holding a plate
2333,a dog laying in the grass with a frisbee near his arms,a black and white dog laying in the grass with a frisbee, a black and white dog laying in the grass with a toy
2334,a clock sitting on a post above the statues of two birds,a large clock and two birds make a statue, a large statue of a lion sits on a bench
2335,there is a male surfer that is riding in the wave,a man on a surf board rides a wave, a man riding a surfboard on the ocean
2336,the sun is hitting the corner of one of the buildings,i love the way the sun is creeping behind those two buidings, you can see the sky because is coming down
2337,a building has a tower with a clock on it,tall stone tower building and beautiful blue sky, building building tower that a tall building tower and building
2338,there is a white bowl which has soup an broccoli in it,a close up of food on a plate on a table, a bowl on top of a bowl on a plate
2339,black and white photo of a scooter carrying numerous bikes,a motorbike parked with several bicycles stacked on on the back of it, a scooter scooter with many parked parked on it on it
2340,a little kid that is on the phone and computer,a little boy talking on the phone and playing with a computer, a toddler boy in his mouth and looking at a computer
2341,the room has a flight of steps near the couch and television,a couch and a television are in a room, a couch and a couch in a room
2342,two women waiting at a bench next to a street,a woman sitting on a bench and a woman standing behind the bench at a bus stop, two women sitting on a bench one is standing next to a woman reading a newspaper
2343,a monorail going down the track as a bus parks by the side of a road,a bus is passing in front of big buildings and beautiful gardens, a bus is driving on green and green seats
2344,a black bear is standing outdoors in the wild,a gigantic black bear roams around with his head hanging low, a brown bulldog stands along side with a snowy in its mouth
2345,an airplane parked at the runway is being serviced by workers,an airplane being prepped for flight as another plane passes by, an airplane being driven by a worker as other workers wait for service
2346,cars passing through a street intersection with office buildings in the background,a street with some signs cars and some tall buildings, a street with many cars and a large traffic parked side
2347,an animal with horns wears a rope from its nose and ear to its neck,a domestic farm animal in a shaded area of vegetation, a golden retriever in front of a calvin klein
2348,a man on a vehicle in a field and a few animals,a cow walks as a man on a quad follows it, a musher drives a race on the grass surrounded by trees
2349,a passenger train drives passed a station on a cloudy day,a train is on the tracks near some trees, a train is on the tracks near the water
2350,a man sits on the couch with two cats on his lap,a man resting on a couch with two different colored cats, a man sleeping on a couch with two little boys and a brown haired
2351,a batter misses a baseball while a empire tries to catch it,there is a baseball player who swung for the ball, there is a baseball player trying to make a pitch
2352,the airplane is flying near a cloud in the sky,a prop plane is flying through the sky, a plane flies through the sky sky
2353,a vintage baby doll with the book goody two shoes on it s lap,a close up of a doll laying in a bed with a book, a baby and baby are near a book
2354,the large brown bear has a black nose,a close up picture of a brown bear s face, a closeup of white spots off of a white dog
2355,a living room filled with furniture and a table,this is what your ceiling fan thinks your house looks like, an orchestra is setting up neatly to play music in a living room
2356,a motorbike parked with several bicycles stacked on on the back of it,a motorcycle is sitting outside near some plants, a motorcycle riding in front of an intersection with many people
2357,a brown bird is standing on the ground,a bird standing on the ground looking around, a bird standing on the ground on rocks
2358,a man riding a snowboard down the side of a snow covered slope,person snowboarding down a steep snow covered slope, man snowboarding down a snowy hill with snow
2359,a photo of a cat laying on a laptop,a small cat is standing on a table, a white cat is sleeping on a bench
2360,a person on skateboard skating on the pavement,a man seems to be disguised as marty mcfly here from back to the future, a skateboarder does not t t t shirt to protect of himself from above the ground
2361,people are skiing and snowboarding on a high mountain,many people skiing down a snow covered slope, on an outdoor snowy day is snowboarding
2362,a boy is eating donut holes while sitting at a dinner table,small certain was child eating donuts off a blue plate, a young boy eating at a picnic table eating food
2363,a park bench next to fence and trees by grassy field,a secluded park bench over looking a field, a park bench next to a fence
2364,three men each holding something and posing for a picture,three men holding wiimotes at a trade show, three men posing for a photo on a pier
2365,a stop sighn is propped up against the side of a building,road sigh on wooden pole shown upside down next to white wall, telephone hangs on concrete ledge next to building and building
2366,a large glass vase with leaves painted on it s sides,a vase with green leaves is sitting on display, an open air is hung in glass
2367,a little girl standing in front of a couch holding a remote,a little young girl playing the wii in the living room, a little girl standing by the bed in the bathroom
2368,a kitchen with two stoves an island and appliances,this is a kitchen with two stoves and a table, this is an outdoor and a kitchen and a meal
2369,a man speaks to some children on a farm,a man talking to a group of kids as a cow stands in a cage, a man with a cane is talking to children in a field on a farm
2370,a tennis player running to get to the ball,a female holding a tennis racket and lunging for a tennis ball, a tennis player with a tennis ball trying to score a match
2371,old and new airplane models handing inside a building,multiple planes hanging on top of a ceiling, an airplane moving over a building
2372,a table with plates of food that include pizza and salad,a person eating pizza and salad at a table, a table with food sits at a table table
2373,a motorcycle parked in front of a building,a very nice looking motorcycle with some long handle bars, a motorcycle parked by a very tall brick building with the windows of it
2374,several rows of boats docked on a body of water,many boats anchored on docks in the harbor, several boats docked across the shore in the distance
2375,a person putting some pastries into a bag,a baker is placing their goods inside a bag, a cashier is putting her goods into a bag
2376,the lunchbox has a cold sandwich strawberry yogurt and orange juice,the healthy lunch is packed up and ready to be eaten, the gummy juice is coming to the and would be eaten
2377,an elvis look alike is seated on the back of a statue of what appears to be a bull or water buffalo against a backdrop of green foliage,an elvis impersonator riding on top of a statue, an elephant perched down on a statue
2378,the bathroom has a mirror and a tiled sink,interior bathroom shot of a glass shower and white sink fixtures, glass blower with glass and a mirror is reflected off mirror
2379,a young child standing in front of a tv holding a wii controller,a small child that is playing a game on a video game console, a young child is at a video game in front of a tv
2380,two bikini clad women riding horses in an ocean,people riding horses partially submerged in a body of water, women riding camels through an ocean
2381,a car driving in an intersection past a furniture shop,a small compact car driving past a furniture store, a vehicle drives past a fast fast
2382,a large clock tower next to a small white church,tilted shot of a clock tower attached to a building, an orchestra setting up a tower at a campground on a sunny day
2383,a zebra grazing on a dry grass field next to elephants,a pregnant zebra eating grass close to two elephants, a deer running away from grassy grass
2384,two giraffes are standing next to a building,adult giraffe standing next to young one by the building, 2 dogs stand next to each other by a building
2385,a person feeding a animal a whole carrot,someone feeding a goat a piece of carrot, someone feeding a goat is feeding a baby
2386,a cleared crosswalk in a city on a snowy slushy day,the road in the city is quiet and empty, it is in the road and cars
2387,a lot of people that are looking at a pool,a dog jumping through the air into a pool, a group of people gathered around a pool in a pool
2388,a green military jeep and motorcycle on display,this is a jeep and a bike parked together, this is a motorcycle parked on a motorcycle
2389,picture of living room with modern furniture and decor,this is a living room with green couches and paintings, this is a living room with christmas bears
2390,a bridge is covered up in bright lights at night,a bridge in the distance with multiple different colored lights, a bridge in the sky with lights lights
2391,there is a sandwich and lettuce on a plate,a white plate topped with a cut in half sandwich and a salad, a man with an apron is using a plate to cut a plate with a plate of food
2392,a long train traveling through a train yard,a landscape view of a railroad yard and train, a train being driven down a train track
2393,a person skiing down a slope next to snow covered trees,skier in a black going down the side of a mountain, skier on a red and white slope has the snow on the ground
2394,the beach is filled with people whom are expecting someone,a large crowd gathered watching another smaller crowd, a young girl enjoys an outdoor moment
2395,a black and white image of people sitting near a santa,many children surrounded around a person with a beard on, some people sit near a large statue
2396,a man standing on a street with a umbrella,a man holding an umbrella next to a waterway, a man stands outdoors on a rainy day
2397,a man and a woman cutting up a big sheet cake,servers cut and plate some birthday cake slices, dough and cake cutting paper plates
2398,a plate of half eaten pizza and salad,pizza salad and a glass of hefevwsen beer, plate plate of a plate of pizza plate
2399,a small boat is beached on the shore,a boat stowed up on the beaches on sand, a boat sailing down on rocks
2400,an elephant standing under the shade of a tree,an elephant is alone in a wooded enclosure, an elephant is under a tree branch
2401,a penn tennis bill resting on a tennis racquet,a tennis ball sitting on a tennis racket, a tennis player sitting on a tennis court
2402,a man knees down on the side of a snow filled mountainside,two snowboarders riding down a hill in a snowy forest, man laying down a snow covered hill
2403,a smiling young mother holding her infant child,a very attractive woman holding a little girl that is chewing something, a smiling baby is being held by a mother holding a baby
2404,a white bear standing beside some large rocks and a waterfall,a polar bear is standing next to a rock, a tan dog stands next to a large waterfall
2405,this small room is packed with personal memorabilia,a television is sitting in a cluttered room, a room is inside a room filled
2406,a waffle with cream and strawberries sits on a plate,a two tier cake with some frosting and strawberries in the middle, a cook with a cookie plate with his plate to eat
2407,a large clock tower is yellow and white,a yellow and white clock tower against a blue sky, a yellow building with a yellow sail and red sky is landing
2408,a sunset view of a marina with boats docked,several boats in the water with their sails down, several boats in the water near the shore shore
2409,a pizza and salad is sitting on a table,a table with a plate of pizza and a plate of shrimp on it, a table with a lot of food and food on it
2410,a baseball game showing a batter waiting for a pitch,a catcher is ready to catch the ball after it crosses the plate, a catcher is waiting to hit the ball before the batter ready to catch the ball
2411,a busy street with cars a motorcycle and a passenger bus,a bus cars and a motorcycle driving in busy traffic on the street, a busy street and cars are driving outside
2412,a cat lying down in a sink in a bathroom,a cat laying in a bathroom sink while looking at the camera, a cat laying in a sink while laying the floor
2413,a guy wear a short khaki pants and brown tee is on a skate board,a person hitting a half pipe on a skateboard, a person skateboarding on a half surface
2414,a man is sleeping with his head on a pillow,man sleeping in his bedroom next to a cat, man sleeping on his bed with a pillow
2415,a bathroom with a red wall and poster in front of a toilet,a toilet with a poster above it in a bathroom, an image of a hummingbird with a mirror
2416,a skateboarded is going up a jump with their skateboard,a person that is standing on a skateboard, a person jumps in the air
2417,two stuffed bears are positioned at a table with a jar of honey,two teddy bears at a table with honey, two rabbits play at a table with a tablecloth
2418,two brown and black birds staring on a curved wire,a couple of birds standing together on a pole, a couple of birds standing around a table
2419,a dog driving an suv in an open grass covered field,a dog is sitting inside a red car, a dog is running outside a blue car
2420,crowd of people walking across the street under umbrellas,a group of people crossing a street with umbrellas, a crowd of people are walking
2421,a man sitting on a bench with a tall building behind him,a man sits on a bench with a church in the background, a man sits on a bench with a building in the background
2422,the horses are racing each other along the beach,three people race their horses down a beach, two horses race down a beach at a beach
2423,two people who are swimming in the water on surfboards,two people lying on belly on surfboards close to each other in large watery expanse, two people out out on beach floating out with their arms above
2424,a pitcher about to pitch in a baseball game,a baseball pitcher standing on the pitcher s mound palming a ball, a pitcher playing baseball and looks up pitch
2425,an orange and black train with train cars passing trees,a black and red train going down a track by some trees, a yellow and white train going near some trees and a train
2426,a vendor has lots of different vases for sale,people in a shop looking at a wide variety of pottery, people in a street selling and selling a variety of items
2427,a street area with a building and cars,poplewalk on the sidewalk near the colorfully striped building, cars parked on the side of the road by a building
2428,a bird sits by a window on the water,a bird is outside of a window on a boat, a bird is on a bench in front of a building
2429,a bunch of fruit includes tangerines and apples,the two apples are surround by a bunch of oranges, a fruit of fruit on a table surrounded by watermelons
2430,a giraffe standing next to a leaf free tree,a giraffe walking near a tree with very few leaves, a deer outside of a tree with plants and leaves
2431,a red sign notifying drivers that there is no parking allowed at any time,a building near the sidewalk with a yellow curb and a no parking sign next to it, a car parked on a corner with a sign with many people around it and one is standing
2432,a room with filtered light coming through vertical blinds on a doorwall with a sleeping dog lying on a dog bed next to a rocking chair,black and white photograph of a dog sleeping in the middle of a living room, dog and dog are looking through a space of furniture
2433,a baked dish on a plate being touched by a woman,flat pizza like object sitting on table with a person taking a slice, lady putting out her plate while holding a plate
2434,a sandwich drink salad and pepper shaker atop a white table,a yummy looking sandwich with a salad and a drink, a wine maker serving a tray of a table
2435,a computer workstation with a laptop and a desktop computer,there is a lap top and a desk top on this table, computer is being rolled to two computer screens
2436,a man wearing eyeglasses dressed in a shirt and tie,a man with glasses and wearing a tie poses for a profile picture, a man with glasses and a shirt with a mustache saying faces
2437,a smart phone sitting next to a canned soft drink and a pen on a wooden table,an iphone pen and soda can on a table, an <unk> sitting next to a table
2438,a vase full of red flowers sits in a room with red walls and red decorations,a vase full of flowers on a bathroom sink counter, a flower arrangement of a yellow and yellow flower on display
2439,a plate with a sandwich on it and a side salad and drink,a tray filled with a cut in half sandwich and a cup of coffee, a wine with glasses and a plate of food food
2440,a remote control book and phone sitting on a bed,a book a camera lens a cellphone on a white counter top, a passenger reads a small piece of paper
2441,a close up of a person wearing a suit and tie,a smiling man in a green suit and a hat, an individual in a suit has a big face
2442,the kitchen is lit with overhead lights shining on the cupboard and sink,a kitchen with white cabinets and brick walls, a glass with red jar jar in it
2443,a child holds a toothbrush in their hand,the baby is holding and looking at his tooth brush, the child is holding up a brush and brush while looking at the camera
2444,a child in green pants is eating an apple,young child kneeling on cloth in outdoor area, toddler eating ice cream in mouth
2445,a field full of people flying kites in a cloudy blue sky,several people in a green field flying kites, several people in a red field watching
2446,a giant bowl of food with broccoli and other food on it,here is a large tray of vegetables sitting on a counter top, food is filled with a giant spoon full of food
2447,three images show the man swinging a racket at the tennis ball,three images of the same man hitting a tennis ball, four men on the beach watch a tennis match
2448,a toddler and cat are in a living room with open curtains,a young boy walking through a living room towards a cat, an asian child sits in a messy room of a cat
2449,a black cat laying on a white lap top,a black cat sitting next to a couple of monitors sitting on top of a table, a black cat laying down on a white sheet of furniture with a cat in its mouth
2450,a spacious living room with three windows and a wooden floor,a living room has some chairs and a ceiling fan, a room with a living room and two apartment windows
2451,a silver fridge sits in a room next to a microwave,a refrigerator up against a wall with a mirror, a glass over a counter with a glass on it
2452,a cat wearing a hat while resting it s paws on top of a chair,a cat is wearing an orange and brown hat, a cat is wearing an animal and sitting
2453,an image of a woman doing arts and crafts with kids,the woman sits at the table with the two children doing crafts, in this picture there are people and children are playing with a child
2454,a distant view of several kites flying in the air,several different kites flying over a parking lot, an airplane flying over a lake surrounded by people
2455,a cat sits on the edge of a toilet,a black and gray cat is sitting on a toilet, a white cat sits at a counter in a bathroom and dryer
2456,a brown elephant is walking along the grass,an elephant walking alone in a grassy area, brown dog walks through a field
2457,a person placing flowers in a white vase attached to a wall,a man refreshing fake flowers in vases on a crypt wall, a woman arranging flowers from a bouquet around her head
2458,a boy baseball player running to steal a base while another boy stops him,a third baseman tries to tag a runner, a baseball player makes another base
2459,a bathroom with two toilets and a shower in it with no space for any of them,the toilet is across from a bidet in the small bathroom, the tub is near it s feet
2460,people waiting in line for the ski lift,a line of skiers waiting for the ski lift, several people are waiting for their ski lift
2461,a man with glasses holds a small child at a restaurant,he was holding the baby in his chair at the dining table, he was holding the child in his lap at the dinner restaurant
